obsID,altID,price,opacity_yes,quantity,plastic_sustainable,logo_yes,volume16,brand
1,1,0.2,1,50,1,1,1,OMAO
1,2,0.19,0,1000,1,1,0,ecoProducts
1,3,0.18,0,1000,1,1,1,ecoProducts
1,4,0.11,0,2000,1,1,0,worldCentric
1,5,0.28,0,1000,1,1,1,worldCentric
